ISO3,YEAR,PARTY_GOV,PARTY_CODE,PARTY_NAME
PAN,2008,1351,PRD,Democratic Revolutionary Party
PAN,2009,1351,PRD,Democratic Revolutionary Party
PAN,2010,59,CD,Democratic Change
PAN,2011,59,CD,Democratic Change
PAN,2012,59,CD,Democratic Change
PAN,2013,59,CD,Democratic Change
PAN,2014,59,CD,Democratic Change
PAN,2015,202,PPA,Panamenista Party / Authentic Panameñista Party
PAN,2016,202,PPA,Panamenista Party / Authentic Panameñista Party
PAN,2017,202,PPA,Panamenista Party / Authentic Panameñista Party
PAN,2018,202,PPA,Panamenista Party / Authentic Panameñista Party
PAN,2019,202,PPA,Panamenista Party / Authentic Panameñista Party
PER,1990,529,APRA/PAP,American Popular Revolutionary Alliance / Peruvian Aprista Party
PER,1991,4219,NM,Change 90
PER,1992,4219,NM,Change 90
PER,1993,4219,NM,Change 90
PER,1994,4219,NM,Change 90
PER,1995,4219,NM,Change 90
PER,1996,4219,NM,Change 90
PER,1997,4219,NM,Change 90
PER,1998,4219,NM,Change 90
PER,1999,4219,NM,Change 90
PER,2000,4219,NM,Change 90
PER,2001,514,AP,Popular Action
PER,2002,4861,PP,Peru Posible
PER,2003,4861,PP,Peru Posible
PER,2004,4861,PP,Peru Posible
PER,2005,4861,PP,Peru Posible
PER,2006,4861,PP,Peru Posible
PER,2007,529,APRA/PAP,American Popular Revolutionary Alliance / Peruvian Aprista Party
PER,2008,529,APRA/PAP,American Popular Revolutionary Alliance / Peruvian Aprista Party
PER,2009,529,APRA/PAP,American Popular Revolutionary Alliance / Peruvian Aprista Party
PER,2010,529,APRA/PAP,American Popular Revolutionary Alliance / Peruvian Aprista Party
PER,2011,529,APRA/PAP,American Popular Revolutionary Alliance / Peruvian Aprista Party
PER,2012,345,PNP,Peruvian Nationalist Party
PER,2013,345,PNP,Peruvian Nationalist Party
PER,2014,345,PNP,Peruvian Nationalist Party
PER,2015,345,PNP,Peruvian Nationalist Party
PER,2016,345,PNP,Peruvian Nationalist Party
PER,2017,6647,PPK,Peruvians for Change
PRY,1990,384,ANR-PC,National Republican Association – Colorado Party
PRY,1991,384,ANR-PC,National Republican Association – Colorado Party
PRY,1992,384,ANR-PC,National Republican Association – Colorado Party
PRY,1993,384,ANR-PC,National Republican Association – Colorado Party
PRY,1994,384,ANR-PC,National Republican Association – Colorado Party
PRY,1995,384,ANR-PC,National Republican Association – Colorado Party
PRY,1996,384,ANR-PC,National Republican Association – Colorado Party
PRY,1997,384,ANR-PC,National Republican Association – Colorado Party
PRY,1998,384,ANR-PC,National Republican Association – Colorado Party
PRY,1999,384,ANR-PC,National Republican Association – Colorado Party
PRY,2000,384,ANR-PC,National Republican Association – Colorado Party
PRY,2001,384,ANR-PC,National Republican Association – Colorado Party
PRY,2002,384,ANR-PC,National Republican Association – Colorado Party
PRY,2003,384,ANR-PC,National Republican Association – Colorado Party
PRY,2004,384,ANR-PC,National Republican Association – Colorado Party
PRY,2005,384,ANR-PC,National Republican Association – Colorado Party
PRY,2006,384,ANR-PC,National Republican Association – Colorado Party
